30_wiki\bridges\bridge-coaching-leadership-feature-layered.md	yitang,management,coaching,ai-collaboration
30_wiki\tools\tool-ai-voice-input-doubao.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai辅助学习.md	ai-collaboration,yitang,product,ai-saas,design,entrepreneurship,decision-making
30_wiki\tools\tool-alt-data-free.md	yitang,research
30_wiki\tools\tool-alt-data-overview.md	yitang,research
30_wiki\tools\tool-ban-fei-mao-an-yu-yi-qie-fen-wen-dang-zuo-xiang-liang-hua.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-dong-tai-du-qu-xiang-liang-hua-guan-li-die-dai-zhi-shi.md	ai-collaboration,yitang
30_wiki\tools\tool-ban-fei-mao-fei-shu-duo-wei-biao-ge-zi-jian-ji-qi-ren-zuo-tuan-dui-shu-ju-xie-tong.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-jiang-xue-xi-cheng-guo-chen-dian-wei-prd-wen-dang.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-pan-duan-ke-cheng-shi-fou-zhi-de-zuo-cheng-skill.md	ai-collaboration,yitang
30_wiki\tools\tool-ban-fei-mao-qing-xi-zi-liao-wei-markdown-ge-shi-wei-gei-ai.md	ai-collaboration,yitang
30_wiki\tools\tool-ban-fei-mao-she-ji-skill-de-ping-fen-gui-ze-yu-feng-xian-bian-jie.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-yong-ai-zuo-jie-gou-hua-yong-hu-diao-yan.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-yong-skill-zuo-dui-bi-ce-shi-yan-zheng-xiao-guo.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-yong-yaml-ge-shi-zuo-zhi-shi-ku-yuan-zi-hua-biao-qian.md	ai-collaboration,yitang
30_wiki\tools\tool-ban-fei-mao-you-xian-shi-yong-guan-fang-quan-wei-xin-yuan-zuo-zheng-ju.md	src-unknown,yitang
30_wiki\tools\tool-ban-fei-mao-zhui-wen-ai-zheng-ju-bing-biao-zhu-xin-yuan.md	src-unknown,yitang
30_wiki\tools\tool-bimodal-time-blocking.md	yitang,time-management
30_wiki\tools\tool-candy-oral-polish.md	yitang,content-production
30_wiki\tools\tool-candy-positioning-canvas.md	yitang,content-production
30_wiki\tools\tool-coaching-communication-four-layers.md	yitang,management,coaching
30_wiki\tools\tool-coaching-communication-segments.md	yitang,management,coaching
30_wiki\tools\tool-dark-time-harvesting.md	yitang,time-management
30_wiki\tools\tool-demand-agent-auto-verify.md	yitang,five-step-method,ai-collaboration
30_wiki\tools\tool-demand-agent-case-match.md	yitang,five-step-method,ai-collaboration
30_wiki\tools\tool-demand-agent-l4-case-match.md	yitang,five-step-method
30_wiki\tools\tool-demand-agent-multi-hypothesis.md	yitang,five-step-method,ai-collaboration
30_wiki\tools\tool-demand-agent-signal-substitute.md	yitang,five-step-method,ai-collaboration
30_wiki\tools\tool-demand-agent-signals.md	yitang,five-step-method,ai-collaboration
30_wiki\tools\tool-demand-assessment-triangle.md	yitang,five-step-method
30_wiki\tools\tool-demand-blindspot-checklist.md	yitang,five-step-method
30_wiki\tools\tool-demand-ceiling-coach.md	yitang,demand-analysis
30_wiki\tools\tool-demand-chai-tui-ping-suan-guide.md	yitang,demand-analysis
30_wiki\tools\tool-demand-four-forces.md	yitang,five-step-method
30_wiki\tools\tool-demand-iceberg-l1-user.md	yitang,five-step-method
30_wiki\tools\tool-demand-iceberg-l2-scenario.md	yitang,five-step-method
30_wiki\tools\tool-demand-iceberg-l3-core-job.md	yitang,five-step-method
30_wiki\tools\tool-demand-iceberg-l4-job-map.md	yitang,five-step-method
30_wiki\tools\tool-demand-iceberg-l5-forces.md	yitang,five-step-method
30_wiki\tools\tool-demand-iceberg-l6-hypothesis.md	yitang,five-step-method
30_wiki\tools\tool-demand-micro-experience-script.md	yitang,demand-analysis
30_wiki\tools\tool-demand-option-explorer.md	yitang,demand-analysis
30_wiki\tools\tool-demand-rat-generator.md	yitang,demand-analysis
30_wiki\tools\tool-demand-report-template.md	yitang,demand-analysis
30_wiki\tools\tool-dns-intelligence.md	yitang,research
30_wiki\tools\tool-doris-industry-report-search-tips.md	yitang,research
30_wiki\tools\tool-doris-industry-report-source-evaluation.md	yitang,research
30_wiki\tools\tool-focus-environment-sop.md	yitang,time-management
30_wiki\tools\tool-google-dorking.md	yitang,research
30_wiki\tools\tool-harness-adversarial-tester.md	yitang,ai-collaboration
30_wiki\tools\tool-leadership-consensus-goal-escalation.md	yitang,management,coaching
30_wiki\tools\tool-leadership-exit-consulting.md	yitang,management,coaching
30_wiki\tools\tool-leadership-feedback-cards.md	yitang,management,coaching
30_wiki\tools\tool-leadership-listening-cards.md	yitang,management,coaching
30_wiki\tools\tool-leadership-questioning-cards.md	yitang,management,coaching
30_wiki\tools\tool-leadership-three-stubborn-subordinates.md	yitang,management,coaching
30_wiki\tools\tool-lean-ai-accelerated-validation.md	strategy,yitang,product
30_wiki\tools\tool-lean-cut-features.md	strategy,yitang,product
30_wiki\tools\tool-lean-fake-marketing.md	strategy,yitang,product
30_wiki\tools\tool-lean-fake-product.md	strategy,yitang,product
30_wiki\tools\tool-lean-human-replace-rnd.md	strategy,yitang,product
30_wiki\tools\tool-lean-human-replace-system.md	strategy,yitang,product
30_wiki\tools\tool-lean-leverage-competitor.md	strategy,yitang,product
30_wiki\tools\tool-lean-leverage-resources.md	strategy,yitang,product
30_wiki\tools\tool-lean-leverage-tools.md	strategy,yitang,product
30_wiki\tools\tool-lean-leverage-traffic.md	strategy,yitang,product
30_wiki\tools\tool-lean-minimum-test-volume.md	strategy,yitang,product
30_wiki\tools\tool-lean-minimum-version.md	strategy,yitang,product
30_wiki\tools\tool-lean-premium-service.md	strategy,yitang,product
30_wiki\tools\tool-lean-presell.md	strategy,yitang,product
30_wiki\tools\tool-lean-product-kernel-metrics.md	strategy,yitang,product
30_wiki\tools\tool-lean-stealth-service.md	strategy,yitang,product
30_wiki\tools\tool-media-verification-overview.md	yitang,research
30_wiki\tools\tool-meeting-basic-principles.md	yitang,management
30_wiki\tools\tool-meeting-execution-principles.md	yitang,management
30_wiki\tools\tool-meeting-result-principles.md	yitang,management
30_wiki\tools\tool-meeting-room-match.md	yitang,time-management
30_wiki\tools\tool-metadata-extraction.md	yitang,research
30_wiki\tools\tool-note-keyword-bolding.md	learning-methodology,yitang,note-taking
30_wiki\tools\tool-note-one-line-one-point.md	learning-methodology,yitang,note-taking
30_wiki\tools\tool-opc-sales-dialogue-assistant.md	ai-collaboration,business-strategy,yitang
30_wiki\tools\tool-oscar-kdo-external-exploration.md	yitang,research
30_wiki\tools\tool-osint-maltego.md	yitang,research
30_wiki\tools\tool-osint-overview.md	yitang,research
30_wiki\tools\tool-osint-sherlock.md	yitang,research
30_wiki\tools\tool-osint-shodan.md	yitang,research
30_wiki\tools\tool-osint-spiderfoot.md	yitang,research
30_wiki\tools\tool-osint-wayback.md	yitang,research
30_wiki\tools\tool-panproduct-org-five-step.md	panproduct,organization,yitang
30_wiki\tools\tool-personal-time-audit-loop.md	personal-growth,yitang
30_wiki\tools\tool-public-scheduling.md	yitang,time-management
30_wiki\tools\tool-react行动推理循环.md	ai-collaboration,ai-saas,yitang
30_wiki\tools\tool-reverse-image-search.md	yitang,research
30_wiki\tools\tool-scene-design-language-translation.md	design,product,yitang
30_wiki\tools\tool-task-depth-decomposition.md	yitang,time-management
30_wiki\tools\tool-team-task-pool.md	yitang,time-management
30_wiki\tools\tool-weekly-hypothesis-experiment.md	yitang,time-management
30_wiki\tools\tool-yihang-agent-config-7steps.md	ai-collaboration,yitang
30_wiki\tools\tool-yihang-dual-triangle-canvas.md	yitang,ai-collaboration,planning
30_wiki\tools\tool-yihang-dual-triangle-oral-spray.md	ai-collaboration,yitang
30_wiki\tools\tool-yihang-dual-triangle-xray-deconstruct.md	ai-collaboration,yitang
30_wiki\tools\tool-yitang-18-strategy-tool-mapping.md	yitang,research
30_wiki\tools\tool-yitang-Y-model-application.md	epistemic-foundations,decision-science,yitang
30_wiki\tools\tool-yitang-ai-assisted-analysis.md	yitang,research
30_wiki\tools\tool-yitang-ai-assisted-organize.md	yitang,research
30_wiki\tools\tool-yitang-ai-monitoring-alert.md	yitang,research
30_wiki\tools\tool-yitang-ai-report-drafting.md	yitang,research
30_wiki\tools\tool-yitang-ai-research-workflow.md	yitang,research,ai-collaboration
30_wiki\tools\tool-yitang-amazon-bestseller.md	yitang,research
30_wiki\tools\tool-yitang-anonymous-product-testing.md	yitang,research
30_wiki\tools\tool-yitang-anonymous-roundtable.md	yitang,research
30_wiki\tools\tool-yitang-app-store-data.md	yitang,research
30_wiki\tools\tool-yitang-app-store-review.md	yitang,research
30_wiki\tools\tool-yitang-b2b-gov-research.md	yitang,research
30_wiki\tools\tool-yitang-baidu-index.md	yitang,research
30_wiki\tools\tool-yitang-behavioral-observation.md	yitang,research
30_wiki\tools\tool-yitang-best-practice-as-golden-finger.md	yitang,personal-growth
30_wiki\tools\tool-yitang-bidding-analysis.md	yitang,research
30_wiki\tools\tool-yitang-bp-analysis.md	yitang,research
30_wiki\tools\tool-yitang-business-formula-l5-mining-and-verification.md	yitang,business-formula
30_wiki\tools\tool-yitang-business-registration-check.md	yitang,research
30_wiki\tools\tool-yitang-channel-agent-interview.md	yitang,research
30_wiki\tools\tool-yitang-channel-industrialization-node-design.md	yitang,growth,operations
30_wiki\tools\tool-yitang-channel-partnership-design.md	yitang,growth,strategy
30_wiki\tools\tool-yitang-channel-scan-cheat-sheet.md	yitang,growth
30_wiki\tools\tool-yitang-channel-scoring-matrix.md	yitang,growth
30_wiki\tools\tool-yitang-comparable-company-selection.md	yitang,research
30_wiki\tools\tool-yitang-competitor-financial-analysis.md	yitang,research
30_wiki\tools\tool-yitang-conference-networking.md	yitang,research
30_wiki\tools\tool-yitang-consulting-business-research.md	yitang,research
30_wiki\tools\tool-yitang-consumer-goods-research.md	yitang,research
30_wiki\tools\tool-yitang-content-ip-research.md	yitang,research
30_wiki\tools\tool-yitang-court-record-search.md	yitang,research
30_wiki\tools\tool-yitang-customer-segmentation-4step.md	yitang,business-strategy,product
30_wiki\tools\tool-yitang-daily-weekly-meeting-hosting.md	yitang,sales,business-strategy
30_wiki\tools\tool-yitang-database-index.md	yitang,research
30_wiki\tools\tool-yitang-douyin-data.md	yitang,research
30_wiki\tools\tool-yitang-dual-triangle-agent-handoff-protocol.md	yitang,ai-collaboration
30_wiki\tools\tool-yitang-dual-triangle-domain-registry.md	yitang,ai-collaboration
30_wiki\tools\tool-yitang-dual-triangle-scenario-router.md	yitang,ai-collaboration
30_wiki\tools\tool-yitang-employee-directory.md	yitang,research
30_wiki\tools\tool-yitang-executive-speech-analysis.md	yitang,research
30_wiki\tools\tool-yitang-expert-network-platform.md	yitang,research
30_wiki\tools\tool-yitang-fake-complaint-research.md	yitang,research
30_wiki\tools\tool-yitang-feedback-self-check.md	yitang,personal-growth
30_wiki\tools\tool-yitang-field-research.md	yitang,research
30_wiki\tools\tool-yitang-financial-report-intelligence.md	yitang,research
30_wiki\tools\tool-yitang-financing-intelligence.md	yitang,research
30_wiki\tools\tool-yitang-forum-data.md	yitang,research
30_wiki\tools\tool-yitang-gossip-intelligence.md	yitang,research
30_wiki\tools\tool-yitang-government-data-search.md	yitang,research
30_wiki\tools\tool-yitang-growth-flywheel-design.md	yitang,growth
30_wiki\tools\tool-yitang-hardware-product-disassembly.md	yitang,research
30_wiki\tools\tool-yitang-hypothesis-marginal-roi.md	yitang,business-formula
30_wiki\tools\tool-yitang-in-home-experience-research.md	yitang,research
30_wiki\tools\tool-yitang-industry-channel-arsenal-index.md	yitang,growth
30_wiki\tools\tool-yitang-industry-report-search.md	yitang,research
30_wiki\tools\tool-yitang-ipo-annual-report-cheat-sheet.md	yitang,research
30_wiki\tools\tool-yitang-job-intelligence-research.md	yitang,research
30_wiki\tools\tool-yitang-listening-37-rule.md	yitang,sales,business-strategy
30_wiki\tools\tool-yitang-method-ab-sides-checklist.md	yitang,decision-science
30_wiki\tools\tool-yitang-news-monitoring.md	yitang,research
30_wiki\tools\tool-yitang-online-product-experience.md	yitang,research
30_wiki\tools\tool-yitang-organization-research.md	yitang,research
30_wiki\tools\tool-yitang-overseas-research.md	yitang,research
30_wiki\tools\tool-yitang-partner-data-analysis.md	yitang,research
30_wiki\tools\tool-yitang-patent-analysis.md	yitang,research
30_wiki\tools\tool-yitang-payment-collection-playbook.md	yitang,sales,business-strategy
30_wiki\tools\tool-yitang-pc-web-data.md	yitang,research
30_wiki\tools\tool-yitang-people-network-database.md	yitang,research
30_wiki\tools\tool-yitang-product-full-experience.md	yitang,research
30_wiki\tools\tool-yitang-project-breakdown-cheatsheet.md	yitang,management
30_wiki\tools\tool-yitang-project-change-decision.md	yitang,management
30_wiki\tools\tool-yitang-project-change-identification.md	yitang,management
30_wiki\tools\tool-yitang-project-change-workflow.md	yitang,management
30_wiki\tools\tool-yitang-project-comm-frequency.md	yitang,management
30_wiki\tools\tool-yitang-project-comm-matrix.md	yitang,management
30_wiki\tools\tool-yitang-project-communication-plan.md	yitang,management
30_wiki\tools\tool-yitang-project-cost-estimation.md	yitang,management
30_wiki\tools\tool-yitang-project-gap-analysis.md	yitang,management
30_wiki\tools\tool-yitang-project-kickoff-meeting.md	yitang,management
30_wiki\tools\tool-yitang-project-plan-canvas.md	yitang,management
30_wiki\tools\tool-yitang-project-progress-tracking.md	yitang,management
30_wiki\tools\tool-yitang-project-proposal-checklist.md	yitang,management
30_wiki\tools\tool-yitang-project-resource-escalation.md	yitang,management
30_wiki\tools\tool-yitang-project-retro-goal-types.md	yitang,management
30_wiki\tools\tool-yitang-project-retro-value-mining.md	yitang,management
30_wiki\tools\tool-yitang-project-risk-discovery.md	yitang,management
30_wiki\tools\tool-yitang-project-risk-response.md	yitang,management
30_wiki\tools\tool-yitang-project-unblock-techniques.md	yitang,management
30_wiki\tools\tool-yitang-public-information-research.md	yitang,research
30_wiki\tools\tool-yitang-public-sentiment-research.md	yitang,research
30_wiki\tools\tool-yitang-quantitative-research-checklist.md	yitang,decision-science
30_wiki\tools\tool-yitang-recruit-user-interview.md	yitang,research
30_wiki\tools\tool-yitang-red-blue-cards.md	yitang,decision-science
30_wiki\tools\tool-yitang-referral-channel-optimization.md	yitang,growth
30_wiki\tools\tool-yitang-retrospective-canvas.md	yitang,management
30_wiki\tools\tool-yitang-review-analysis.md	yitang,research
30_wiki\tools\tool-yitang-sales-performance-management.md	yitang,business-strategy,management
30_wiki\tools\tool-yitang-sales-process-decomposition.md	yitang,business-strategy,management
30_wiki\tools\tool-yitang-sales-toolkit-maturity-60-75-85.md	yitang,sales,business-strategy
30_wiki\tools\tool-yitang-sales-toolkit-radar.md	yitang,business-strategy
30_wiki\tools\tool-yitang-securities-research.md	yitang,research
30_wiki\tools\tool-yitang-security-guard-intel.md	yitang,research
30_wiki\tools\tool-yitang-shareholder-analysis.md	yitang,research
30_wiki\tools\tool-yitang-shishi-qiushi-cheat-sheet.md	yitang,decision-science
30_wiki\tools\tool-yitang-signup-statistics.md	yitang,research
30_wiki\tools\tool-yitang-social-engineering-research.md	yitang,research
30_wiki\tools\tool-yitang-social-media-interview.md	yitang,research
30_wiki\tools\tool-yitang-social-media-monitoring.md	yitang,research
30_wiki\tools\tool-yitang-stock-data.md	yitang,research
30_wiki\tools\tool-yitang-store-franchise-research.md	yitang,research
30_wiki\tools\tool-yitang-supplier-interview.md	yitang,research
30_wiki\tools\tool-yitang-supply-chain-research.md	yitang,research
30_wiki\tools\tool-yitang-tech-project-research.md	yitang,research
30_wiki\tools\tool-yitang-three-second-opening-scripts.md	yitang,sales,business-strategy
30_wiki\tools\tool-yitang-trend-data.md	yitang,research
30_wiki\tools\tool-yitang-user-interview-5steps.md	yitang,research
30_wiki\tools\tool-yitang-value-proposition-4step.md	business-strategy,yitang,product
30_wiki\tools\tool-yitang-weapon-ai-tools.md	yitang,research
30_wiki\tools\tool-yitang-weapon-anonymous-identity.md	yitang,research
30_wiki\tools\tool-yitang-weapon-field-reconnaissance.md	yitang,research
30_wiki\tools\tool-yitang-weapon-former-employee-network.md	yitang,research
30_wiki\tools\tool-yitang-weapon-full-product-experience.md	yitang,research
30_wiki\tools\tool-yitang-weapon-industry-expert.md	yitang,research
30_wiki\tools\tool-yitang-weapon-insider-intelligence.md	yitang,research
30_wiki\tools\tool-yitang-weapon-media-search.md	yitang,research
30_wiki\tools\tool-yitang-weapon-partner-research.md	yitang,research
30_wiki\tools\tool-yitang-weapon-product-reputation.md	yitang,research
30_wiki\tools\tool-yitang-weapon-product-reverse.md	yitang,research
30_wiki\tools\tool-yitang-weapon-public-official-info.md	yitang,research
30_wiki\tools\tool-yitang-weapon-third-party-database.md	yitang,research
30_wiki\tools\tool-yitang-weapon-user-direct-interview.md	yitang,research
30_wiki\tools\tool-yitang-web-scraping-research.md	yitang,research,ai
30_wiki\tools\tool-yitang-wechat-group-infiltration.md	yitang,research
30_wiki\tools\tool-yitang-wechat-index.md	yitang,research
30_wiki\tools\tool-yitang-weibo-index.md	yitang,research
30_wiki\tools\tool-yitang-xiaohongshu-data.md	yitang,research
30_wiki\tools\tool-一堂-12大易浪费触点.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-ABACC叙事法.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-FAB说服法.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-kernel-six-verification-strategies.md	yitang,product-kernel
30_wiki\tools\tool-一堂-七大转化场景自检.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-不着急阻力两类消除.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-业务公式-L1L6参数分层自检.md	yitang,key-assumptions,business-formula
30_wiki\tools\tool-一堂-五大转化率范式.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-五种挖触点.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-伏笔式消除法.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-关键假设-ABCD场景分类器.md	yitang,key-assumptions
30_wiki\tools\tool-一堂-准备系数法则.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-减法排序四招.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-制作仿真三要点.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-动嘴动手动钱成本纪律.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-名利权情动力法.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-基本功-三环六维自检.md	management,yitang
30_wiki\tools\tool-一堂-基本功-建模七法.md	management,yitang
30_wiki\tools\tool-一堂-基本功-拆解四法.md	management,yitang
30_wiki\tools\tool-一堂-基本功-推动七式.md	management,yitang
30_wiki\tools\tool-一堂-基本功-练习二十法.md	management,yitang
30_wiki\tools\tool-一堂-影响力六原则.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-心理激励优先机制.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-提假设四大类策略.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-机会预判-五步法预判.md	yitang,opportunity-foresight,five-step-method
30_wiki\tools\tool-一堂-机会预判-案例预判.md	yitang,opportunity-foresight
30_wiki\tools\tool-一堂-经典故事线框架库.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-表达力火箭模型-执行武器库.md	yitang,personal-expression
30_wiki\tools\tool-一堂-触点减法与排序.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-触点挖掘四层级.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-触点质量五维.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-讲香双策略.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-阻力三句话心法.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-阻力挖掘方式.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-阻力消除12策小抄.md	yitang,conversion-rate
30_wiki\tools\tool-一堂-马毅阻力消除四部曲.md	yitang,conversion-rate
30_wiki\tools\tool-一堂五步法-ToB-十八式-checklist.md	yitang,five-step-method
30_wiki\tools\tool-一堂五步法-换档检查清单.md	yitang,five-step-method
30_wiki\tools\tool-一堂五步法-段位升级三部曲.md	yitang,five-step-method
30_wiki\tools\tool-三阶追问法穷尽决策要素.md	management,decision-making,yitang
30_wiki\tools\tool-专家访谈十步法.md	research,design,yitang
30_wiki\tools\tool-专家访谈学习.md	research,yitang
30_wiki\tools\tool-专题笔记整理.md	learning-methodology,yitang
30_wiki\tools\tool-个人学习方法-修炼闭环自检清单.md	yitang,personal-learning
30_wiki\tools\tool-主动摘要压缩上下文.md	learning-methodology,ai-saas,management,yitang
30_wiki\tools\tool-人生红点战略对齐.md	personal-growth,decision-making,yitang
30_wiki\tools\tool-从案例中学习.md	learning-methodology,yitang
30_wiki\tools\tool-代入场景推演要素法.md	learning-methodology,decision-making,yitang,business-strategy
30_wiki\tools\tool-任务拆解为工作流.md	entrepreneurship,management,design,yitang
30_wiki\tools\tool-体系框架构建.md	learning-methodology,management,design,yitang
30_wiki\tools\tool-六维窗口期扫描法.md	learning-methodology,management,product,business-strategy,ai-saas,yitang,supply-chain,decision-making
30_wiki\tools\tool-决策深度-L1优先级定性.md	yitang,decision-science
30_wiki\tools\tool-决策深度-L2部分定量.md	yitang,decision-science
30_wiki\tools\tool-决策深度-L3定量公式.md	yitang,decision-science
30_wiki\tools\tool-决策深度-L4严格财务公式.md	yitang,decision-science
30_wiki\tools\tool-分层标注重点信息.md	learning-methodology,ai-saas,decision-making,yitang
30_wiki\tools\tool-动力阻力分析.md	yitang,conversion-rate
30_wiki\tools\tool-动手建模提炼.md	learning-methodology,yitang
30_wiki\tools\tool-区分获客渠道计算单元roi.md	learning-methodology,decision-making,yitang,business-strategy
30_wiki\tools\tool-反向提示获取优化建议.md	learning-methodology,ai-saas,master,yitang
30_wiki\tools\tool-反向教学深化理解.md	learning-methodology,ai-saas,yitang
30_wiki\tools\tool-反向记录整理思路.md	learning-methodology,ai-saas,management,yitang
30_wiki\tools\tool-反向采访挖掘深度.md	learning-methodology,ai-saas,yitang
30_wiki\tools\tool-增强数据供给.md	learning-methodology,design,yitang,decision-making
30_wiki\tools\tool-复盘推演练习.md	learning-methodology,kdo,decision-making,yitang
30_wiki\tools\tool-复盘浪费九宗罪自检清单.md	personal,yitang
30_wiki\tools\tool-多模型对比抽卡.md	learning-methodology,ai-saas,decision-making,yitang
30_wiki\tools\tool-多轮确认防偏差.md	learning-methodology,ai-saas,yitang
30_wiki\tools\tool-完整财务公式决策.md	yitang,decision-science
30_wiki\tools\tool-对标借鉴他人决策维度.md	product,decision-making,yitang
30_wiki\tools\tool-封装可复用skill.md	learning-methodology,ai-saas,management,kdo,yitang
30_wiki\tools\tool-将未中标成本纳入循环计算真实投标成本.md	entrepreneurship,management,decision-making,yitang,business-strategy
30_wiki\tools\tool-建立知识联系.md	learning-methodology,yitang
30_wiki\tools\tool-思维链显化推理.md	learning-methodology,ai-saas,decision-making,yitang
30_wiki\tools\tool-思维验证交叉检验.md	learning-methodology,ai-saas,decision-making,yitang
30_wiki\tools\tool-按月份摊销收入成本做计划.md	entrepreneurship,finance-legal,decision-making,yitang,business-strategy
30_wiki\tools\tool-提升笔记练习频次的方法.md	learning-methodology,design,yitang
30_wiki\tools\tool-提示词结构化迭代.md	learning-methodology,ai-saas,management,yitang
30_wiki\tools\tool-提问刻意练习画布.md	yitang,decision-science
30_wiki\tools\tool-数据分层供给.md	learning-methodology,kdo,product,design,yitang
30_wiki\tools\tool-模型匹配调度.md	learning-methodology,yitang
30_wiki\tools\tool-模型组合调用.md	learning-methodology,design,yitang
30_wiki\tools\tool-泛产品落地-ROI分析.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-业务建模.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-低成本测试MVP.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-假设拆解.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-努力仿真.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-十倍速验证.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-复盘迭代.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-攻坚会.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-管理三段论.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-解放思想.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-设计原则.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-逻辑MECE.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-酝酿式打磨.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-里程碑拆解.md	yitang,decision-science
30_wiki\tools\tool-泛产品落地-风险管理.md	yitang,decision-science
30_wiki\tools\tool-泛产品设计-出牌指南.md	yitang,pan-product
30_wiki\tools\tool-泛产品设计-需求可行性四字诀.md	yitang,pan-product
30_wiki\tools\tool-泛产品设计-需求工具箱指南.md	yitang,decision-science
30_wiki\tools\tool-深度分层学习.md	learning-methodology,decision-making,yitang
30_wiki\tools\tool-清单小抄制作.md	learning-methodology,management,kdo,yitang,business-strategy
30_wiki\tools\tool-清单式笔记法.md	content-production,design,yitang
30_wiki\tools\tool-渐进式披露上下文.md	learning-methodology,management,product,ai-saas,design,yitang
30_wiki\tools\tool-现场建模式萃取笔记.md	learning-methodology,management,yitang
30_wiki\tools\tool-用topdown方式整理内化笔记.md	learning-methodology,management,yitang
30_wiki\tools\tool-用清单体记备忘笔记.md	learning-methodology,management,decision-making,yitang
30_wiki\tools\tool-知识库团队管理.md	content-production,management,design,yitang,entrepreneurship,kdo
30_wiki\tools\tool-科学决策关键训练清单.md	yitang,decision-science
30_wiki\tools\tool-科学学习IPO完整清单.md	yitang,decision-science
30_wiki\tools\tool-科学提问刻意练习.md	yitang,decision-science
30_wiki\tools\tool-稀缺资源机会成本比对法.md	management,decision-making,yitang
30_wiki\tools\tool-稀缺资源清单.md	yitang,decision-science
30_wiki\tools\tool-纪浩-多视角切换思考法.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-新手心态启动法.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-案例池构建法.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-线上问题应急值守.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-评估AI从零写UI的可行性.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-识别AI不可维护代码.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-里程碑验证法.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-问题导向备课法.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-纪浩-项目启动五问法.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-自我反馈修正笔记姿势.md	content-production,management,yitang
30_wiki\tools\tool-自我反馈检验.md	content-production,master,yitang
30_wiki\tools\tool-获取他人反馈优化笔记.md	content-production,entrepreneurship,yitang,business-strategy
30_wiki\tools\tool-讲香十指模型-超级武器库.md	yitang,decision-science
30_wiki\tools\tool-讲香基本功-十指模型.md	yitang,personal-expression
30_wiki\tools\tool-费曼学习法三句话提炼.md	learning-methodology,yitang
30_wiki\tools\tool-费曼学习法实践讲香课题.md	learning-methodology,design,yitang,decision-making
30_wiki\tools\tool-辩证讨论深化.md	learning-methodology,management,master,yitang
30_wiki\tools\tool-逐字稿练习演讲.md	content-production,design,yitang
30_wiki\tools\tool-项目复盘基本功.md	learning-methodology,management,business-strategy,design,yitang,entrepreneurship
30_wiki\tools\tool-项目方案评估三角形.md	yitang,decision-science
30_wiki\tools\tool-马易-AI落地场景筛选-四有新人法则.md	ai-collaboration,yitang,ai-saas
